# =========================================== 
# First Measurment - timestamp 
# <timestamp>, <tempCelsius>
# ------------------------------------------- 
2023-03-02T15:49:56Z, 24.33
2023-03-02T15:51:51Z, 23.53
2023-03-02T15:52:04Z, 7.60
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.30
2023-03-02T15:52:38Z, 2.90
2023-03-02T15:52:38Z, 2.70
2023-03-02T15:52:38Z, 
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
2023-03-02T15:52:38Z, 3.90
